City,State,Church,Pastor,Stat Year,Comm,Non Comm,Prof Child,Prof Adult,Trans Letter,Reaffirmation,Restored,Death,Trans,Removed From Roll,Discipline,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades Included,Total Enrollment,Tithes & Offerings,Special Causes,Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,Administration,Discipleship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,Ridge Haven,Reformed University Ministries,PCA Office Building,Other,Presbytery Operation,Christian Education,Home Missions,Internat'l Missions,Other Presbytery Min,Local Ministries,Mercy Ministires,PCA Internat'l Missions,PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total Benevolent Disbursements,Current Expenses,Building Fund,Total All Disbursements,Benevol Grand Total,Per Capita Giving
Charleston,SC,Redeemer Presbyterian Church,Craig B. Bailey,2023,135,52,4,0,10,5,0,1,8,19,0,1,14,1,4,61,90,100,200,No Grades Included Reported,0,783000,5006,10406,2238,800650,74259,874909,0,0,0,0,0,0,0,0,0,1200,5800,0,0,0,0,0,10408,2250,500,30500,0,0,50658,569883,111011,731552,0.0692472988933118,5930.74074074074
Raleigh,NC,Christ The King Presbyterian Church,Geoffrey T. Bradford,2023,250,147,0,1,11,9,0,0,10,72,0,0,9,10,6,166,0,0,315,No Grades Included Reported,0,1207608,0,0,11600,1219208,1300,1220508,421,0,0,0,0,0,0,21554,0,0,10725,0,0,0,0,10073,54247,27350,0,20000,0,0,144370,1187381,95286,1427037,0.101167664188104,4876.832
El Paso,TX,Christ the King Presbyterian Church,Dawson Hunt,2023,194,28,14,21,4,2,0,3,0,7,0,12,5,7,5,115,32,11,191,No Grades Included Reported,0,477037,0,0,0,477037,0,477037,0,0,0,0,0,0,0,19683,0,0,4766,0,0,0,0,0,0,0,0,3600,0,0,28049,461907,0,489956,0.0572479977793924,2458.95360824742
Evans,GA,Redeemer Church,John D. Fender,2023,386,87,13,1,17,16,3,3,3,2,0,6,4,8,13,165,160,0,400,KE,5,1230435,279745,0,15310,1525490,0,1525490,0,0,0,0,3400,0,0,0,0,0,4500,0,0,0,0,21644,400,73800,0,138000,242079,0,483823,1140067,0,1623890,0.2979407472181,3952.04663212435
Farmington,NM,Providence Presbyterian Church - Farmington,Gary D. McMillan,2023,50,30,1,0,0,5,0,0,10,0,0,0,7,4,4,24,0,0,95,No Grades Included Reported,0,244362,0,0,0,244362,0,244362,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,29844,0,0,0,0,0,31844,0,0,31844,1.0,4887.24
Des Moines,IA,Redeemer Presbyterian Church,Wayne Larson,2023,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,10,35,No Grades Included Reported,0,158000,0,0,0,158000,0,158000,600,0,600,0,600,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,5000,0,0,8550,57000,0,65550,0.130434782608696,6320.0
Lincoln,NE,Grace Chapel,Benjamin Loos,2023,444,54,13,1,2,37,0,3,1,0,0,5,14,6,4,230,72,221,340,No Grades Included Reported,0,1175841,25000,4000,10000,1214841,60000,1274841,3500,0,0,0,0,0,0,5000,0,0,9500,0,0,0,0,0,15000,10000,3600,15000,0,0,61600,887132,57518,1006250,0.0612173913043478,2736.12837837838
Waco,TX,Redeemer Presbyterian Church,Jeff C. Hatton,2023,326,0,18,12,1,0,0,2,3,0,0,9,8,17,8,58,95,75,270,No Grades Included Reported,0,725600,500,20000,800,746900,800,747700,200,0,0,0,0,0,0,35780,0,0,0,0,19000,0,0,1800,3000,0,0,9125,0,0,68905,579300,107000,755205,0.0912401268529737,2291.10429447853
Columbia,MO,Korean First Presbyterian Church of Columbia,Hanjoo Park,2023,64,0,8,4,7,0,0,0,7,0,0,2,0,8,3,41,25,45,65,No Grades Included Reported,0,52763,49644,0,0,102407,0,102407,100,0,0,1500,0,0,0,0,0,0,1000,0,0,0,0,1000,1500,2400,0,2400,0,0,9900,0,8000,17900,0.553072625698324,1600.109375
Austin,TX,Christ the King Presbyterian Church Austin,No Pastor Reported,2023,115,45,2,0,5,16,0,0,2,6,0,0,8,5,5,51,15,32,110,No Grades Included Reported,0,367541,5641,213888,0,587070,637,587707,1420,0,0,0,0,0,0,0,0,0,1800,0,3540,0,0,3600,5288,8856,8406,6968,0,0,39878,408039,44519,492436,0.0809810818055544,5104.95652173913
Jackson,TN,Covenant Presbyterian Church at Jackson,Kevin Chiarot,2023,100,14,3,0,2,0,0,0,5,0,0,0,1,5,4,36,42,0,63,No Grades Included Reported,0,314405,16171,0,0,330576,1817,332393,600,0,0,0,1200,0,0,0,0,0,1200,0,0,30587,0,7000,11000,0,0,0,0,0,51587,251766,0,303353,0.170056007357765,3305.76
Vero Beach,FL,Christ the King Presbyterian Church,Seth Wallace,2023,109,8,0,0,2,1,0,2,2,2,0,0,0,2,4,0,0,0,0,No Grades Included Reported,0,376445,0,0,0,376445,17134,393579,429,750,1393,1607,964,0,429,964,0,0,1500,0,2200,0,0,0,16915,8000,3000,9200,0,10000,57351,273577,74172,405100,0.141572451246606,3453.62385321101
Houston,TX,Korean Faith Presbyterian Church of Houston,In Seung Lee,2023,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Grades Included Reported,0,96000,0,0,0,96000,0,96000,0,0,1200,0,0,0,0,0,0,0,600,0,0,10000,0,2000,1100,0,0,0,0,0,14900,80000,0,94900,0.157007376185458,3200.0
Somerville,NJ,Crossroads Community Church,Daniel Liu,2023,137,59,0,2,3,26,0,0,4,4,0,2,5,3,8,87,0,0,180,No Grades Included Reported,0,739144,29129,37579,0,805852,43,805895,1500,0,0,2400,0,0,0,36000,0,0,0,0,0,5000,0,0,37533,0,0,33000,0,0,115433,470778,84185,670396,0.172186289894331,5882.13138686131
Baton Rouge,LA,South Baton Rouge Presbyterian Church,Nathan C. Tircuit,2023,281,80,10,3,6,7,0,2,0,0,1,3,3,8,9,123,38,20,218,No Grades Included Reported,0,1146992,0,0,0,1146992,0,1146992,0,0,16000,40000,0,0,0,47900,0,12000,30000,0,0,0,0,0,7000,6200,0,40200,0,0,199300,947692,0,1146992,0.173758840515017,4081.82206405694
