City,State,Church,Pastor,Stat Year,Comm,Non Comm,Prof Child,Prof Adult,Trans Letter,Reaffirmation,Restored,Death,Trans,Removed From Roll,Discipline,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades Included,Total Enrollment,Tithes & Offerings,Special Causes,Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,Administration,Discipleship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,Ridge Haven,Reformed University Ministries,PCA Office Building,Other,Presbytery Operation,Christian Education,Home Missions,Internat'l Missions,Other Presbytery Min,Local Ministries,Mercy Ministires,PCA Internat'l Missions,PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total Benevolent Disbursements,Current Expenses,Building Fund,Total All Disbursements,Benevol Grand Total,Per Capita Giving
Macon,GA,Strong Tower Fellowship Mission,No Pastor Reported,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,65,No Grades Included Reported,0,63479,32485,0,264512,360476,90870,451346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35703,5530,0,0,0,0,0,41233,375287,0,416520,0.0989940459041583,0.0
Lillian,AL,Lillian Fellowship Church,Dean E. Conkel,2017,33,38,0,0,2,6,0,1,0,0,0,0,1,0,0,45,0,0,54,No Grades Included Reported,0,94505,3820,8909,100,107334,3601,110935,0,0,0,4125,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,1000,0,0,7525,55523,10681,73729,0.10206296030056,3252.54545454545
Spartanburg,SC,Grace Presbyterian Church,Justin Kendrick,2017,76,40,1,9,10,0,0,0,3,0,0,1,1,3,0,38,35,0,85,No Grades Included Reported,0,196817,13325,0,26963,237105,0,237105,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,60,0,0,0,0,0,2760,196912,0,199672,0.013822669177451,3119.80263157895
Wilmington,NC,Christ the King Church,No Pastor Reported,2017,90,49,4,0,3,35,0,2,4,5,0,0,10,4,5,49,50,0,175,No Grades Included Reported,0,375288,6603,96505,0,478396,3013,481409,0,0,0,0,0,0,0,19000,0,0,600,0,0,0,0,1000,0,7200,0,17100,0,0,44900,120856,0,165756,0.270880088805232,5315.51111111111
Bogart,GA,Resurrection Presbyterian Church,Jared Bryant,2017,150,32,0,0,7,5,0,0,2,13,0,1,3,4,9,63,0,0,137,No Grades Included Reported,0,289916,10541,1241,0,301698,0,301698,0,0,0,0,0,0,0,0,0,0,1000,0,0,1400,0,0,6399,0,0,600,0,0,9399,281552,2162,293113,0.0320661314919502,2011.32
Morrisville,NC,Trinity Park Church,Adam Corey Jackson,2017,152,91,4,3,21,0,0,1,7,2,0,3,7,6,6,71,0,0,153,No Grades Included Reported,0,423250,860,0,54057,478167,253,478420,0,0,0,0,0,0,0,0,0,1952,2300,0,0,0,0,5189,1975,22212,3000,3629,0,0,40257,385066,36000,461323,0.0872642378550387,3145.83552631579
Blythewood,SC,Blythewood Presbyterian Church,Frank Rhett Sanders Jr.,2017,185,44,9,0,6,6,2,0,0,25,0,2,3,5,5,79,100,0,173,No Grades Included Reported,0,339255,2260,33192,6172,380879,1743,382622,1520,0,860,0,0,0,370,550,0,0,330,0,1584,66,1320,5625,9800,4200,0,17673,0,0,43898,318339,15229,377466,0.116296567108031,2058.80540540541
Wentzville,MO,New Creation Presbyterian Church,Loren D. Bell,2017,68,24,0,0,5,1,0,1,5,0,0,0,0,4,2,26,39,0,74,No Grades Included Reported,0,179986,0,0,0,179986,0,179986,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,3000,0,0,0,0,3500,176486,0,179986,0.0194459569077595,2646.85294117647
Staunton,VA,Holy Cross Presbyterian Church,Jake A. Bennett,2017,125,63,1,2,10,0,0,0,2,2,0,2,4,3,1,58,38,0,161,No Grades Included Reported,0,328688,4842,0,0,333530,241,333771,0,0,0,0,0,0,0,0,0,0,5047,0,0,0,0,100,5398,0,1000,418,0,0,11963,297499,0,309462,0.0386574118954831,2668.24
Helena,AL,Christ Community Church,Phil Chambers,2017,159,98,1,2,6,0,0,1,2,7,0,11,1,8,3,60,90,0,225,No Grades Included Reported,0,419156,0,214064,0,633220,0,633220,0,0,12000,0,0,0,0,2400,0,0,800,0,0,0,0,0,0,0,20400,0,0,0,35600,410968,196025,642593,0.0554005412446136,3982.51572327044
Helena,AL,Christ Community Church,Phil Chambers,2017,159,98,1,2,6,0,0,1,2,7,0,11,1,8,3,60,90,0,225,No Grades Included Reported,0,419156,0,214064,0,633220,0,633220,0,0,12000,0,0,0,0,2400,0,0,800,0,0,0,0,0,0,0,20400,0,0,0,35600,410968,196025,642593,0.0554005412446136,3982.51572327044
Harrison Township,MI,Knox Presbyterian Church,Douglas Weir Graham,2017,470,0,8,15,7,5,0,5,2,4,0,0,4,12,0,399,150,0,300,P,18,991709,7485,2500,28039,1029733,43093,1072826,1951,0,0,0,0,0,0,0,0,0,6300,0,6300,0,0,77536,6000,71293,83822,20229,0,2500,275931,760256,0,1036187,0.26629459740375,2190.92127659574
Midlothian,TX,Christ the King,David Lindberg,2017,73,29,2,0,2,5,0,0,2,6,0,0,3,4,0,48,60,0,113,No Grades Included Reported,0,305146,6315,0,0,311461,0,311461,600,600,600,0,0,0,0,0,0,4000,1000,0,0,0,0,0,1200,10800,0,12000,0,0,30800,236097,0,266897,0.115400322971034,4266.58904109589
Chicago,IL,"Living Hope Church, Chicago",No Pastor Reported,2017,50,10,1,6,7,0,0,0,2,3,0,6,0,1,0,28,0,0,50,No Grades Included Reported,0,52600,44400,0,53200,150200,39000,189200,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,0,0,0,0,0,6889,206111,0,213000,0.0323427230046948,3004.0
Jacksonville,FL,Christ Church East,Keith Dickerson,2017,340,22,4,4,30,10,0,0,4,0,0,2,8,7,2,129,100,0,320,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tucson,AZ,Holy Cross Church,No Pastor Reported,2017,55,31,0,13,2,0,0,0,2,8,0,0,5,3,3,28,70,0,105,No Grades Included Reported,0,283000,2000,0,1800,286800,3000,289800,100,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,1300,1100,0,0,1200,0,0,5400,212000,70000,287400,0.0187891440501044,5214.54545454545
Sylva,NC,Redeemer Church PCA,Steven Hansen,2017,49,21,1,0,0,9,0,0,0,0,0,1,3,3,1,26,35,0,65,No Grades Included Reported,0,163000,0,0,0,163000,0,163000,250,250,1700,1200,0,0,0,2400,0,0,900,0,0,0,0,500,0,0,0,0,0,0,7200,138000,0,145200,0.0495867768595041,3326.5306122449
Middletown,DE,The Town (PCA),Daniel Andrew Betters,2017,228,0,2,4,1,11,0,0,2,1,0,4,5,2,1,135,0,0,280,No Grades Included Reported,0,369939,0,203027,0,572966,20593,593559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,800,422672,27308,450780,0.00177470162828874,2513.00877192982
Smyrna,DE,CenterPoint Church ,David Robert Dorst,2017,70,22,2,3,6,5,5,0,4,9,0,2,5,2,1,31,4,0,68,No Grades Included Reported,0,104289,0,0,0,104289,215,104504,0,0,0,0,0,0,0,0,0,0,500,0,0,0,500,4614,2332,820,178,480,0,0,9424,23550,0,32974,0.285800934069267,1489.84285714286
Phoenixville,PA,Iron Works Church,R.  Kent Woodrow,2017,122,67,1,3,23,0,0,0,2,1,1,0,4,2,1,70,8,0,146,No Grades Included Reported,0,293311,89029,134131,104342,620813,17875,638688,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239963,8911,92244,0,5,0,0,342123,320905,1250,664278,0.515029851959571,5088.63114754098
Owasso,OK,Trinity Presbyterian Church,Blake A. Altman,2017,183,55,0,7,35,0,0,1,0,0,0,7,9,5,4,67,45,0,202,No Grades Included Reported,0,413295,14156,14055,0,441506,7352,448858,648,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,1541,6472,6229,40810,1000,0,0,59700,284736,85825,430261,0.138752989464534,2412.60109289618
Canton,NY,New Life Presbyterian Church,Laurence Veinott,2017,38,2,0,0,0,1,0,0,0,5,0,0,0,3,1,23,20,0,27,No Grades Included Reported,0,88905,0,0,30,88935,0,88935,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,1798,0,0,2720,90247,0,92967,0.0292576935901987,2340.39473684211
Chesapeake,VA,Crosswater Presbyterian Church ,Dan Kerley,2017,117,43,0,0,2,4,0,0,3,2,0,0,3,5,6,52,65,0,119,No Grades Included Reported,0,339176,21116,5620,0,365912,1956,367868,400,300,1500,7950,1100,200,100,9150,0,0,1500,1000,0,0,0,1200,7787,6115,1600,3600,0,0,43502,323766,32708,399976,0.108761525691541,3127.45299145299
Middlesboro,KY,Grace Fellowship Presbyterian Church,No Pastor Reported,2017,18,3,0,1,1,0,0,0,0,0,0,1,3,1,0,7,0,0,26,No Grades Included Reported,0,19817,0,0,0,19817,0,19817,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,1200,0,0,0,0,0,200,1800,14240,0,16040,0.112219451371571,1100.94444444444
Franklin,TN,Cornerstone Presbyterian Church,Nathan Shurden,2017,424,83,6,2,12,20,0,0,5,0,0,0,3,7,8,149,150,0,310,No Grades Included Reported,0,746400,20790,4025,0,771215,227,771442,200,0,0,0,0,0,0,12000,0,0,7236,0,0,0,0,1200,0,0,12000,26400,4950,0,63986,645290,55000,764276,0.0837210641181981,1818.90330188679
Silver Spring,MD,Mosaic Community Church,Joel C. St. Clair,2017,92,40,0,2,5,2,0,0,6,9,0,0,7,3,2,53,0,0,106,No Grades Included Reported,0,315000,0,0,40000,355000,0,355000,700,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,12000,22500,1000,2000,500,0,0,40700,0,0,40700,1.0,3858.69565217391
Scottdale,PA,Pilgrim Presbyterian Mission,Dale R. White,2017,13,3,2,2,0,0,0,0,0,0,0,0,1,0,0,7,7,0,24,No Grades Included Reported,0,46777,0,0,0,46777,0,46777,300,0,0,0,0,0,0,0,0,0,300,0,300,0,0,300,0,0,0,0,0,0,1200,53408,0,54608,0.02197480222678,3598.23076923077
Siloam Springs,AR,Redeemer Presbyterian Church,Theodore T. Wenger,2017,72,57,1,0,0,10,0,0,2,0,0,0,4,4,0,36,0,0,132,No Grades Included Reported,0,153468,3464,9540,9000,175472,0,175472,100,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,1539,0,0,0,0,0,2541,169816,36000,208357,0.0121954146009013,2437.11111111111
Trussville,AL,Christ Church PCA,Jeremy Byrd,2017,157,52,0,0,26,0,0,0,0,0,1,0,4,6,4,75,80,0,152,No Grades Included Reported,0,497201,0,113324,0,610525,0,610525,924,924,3432,3168,1320,1320,528,2112,0,0,1320,0,0,0,0,27800,0,9900,9600,12400,0,0,74748,324520,36000,435268,0.171728682099304,3888.69426751592
Christiansburg,VA,Providence Presbyterian Church,Brian Waters,2017,67,32,1,0,5,5,0,1,6,0,1,0,3,2,3,32,35,0,77,No Grades Included Reported,0,132746,0,0,0,132746,0,132746,480,480,1400,1400,280,280,140,280,0,0,2800,0,0,0,0,3100,13125,4600,3800,6800,0,0,38965,119963,0,158928,0.245173915232055,1981.28358208955
Hamilton,OH,Living Hope PCA,Chad William Grindstaff,2017,53,32,2,13,4,0,0,0,0,0,0,0,5,0,0,23,0,0,78,No Grades Included Reported,0,170521,0,0,11302,181823,0,181823,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,22850,0,0,0,0,0,23350,125169,0,148519,0.157218941684229,3430.62264150943
Valdosta,GA,Redeemer Valdosta,Scott V. Horne,2017,85,18,0,0,2,0,0,0,0,10,0,0,1,5,5,40,30,0,80,No Grades Included Reported,0,152326,30155,125130,1200,308811,0,308811,0,0,0,0,0,0,0,3000,0,0,3000,0,0,0,0,0,0,22600,0,9600,0,0,38200,189779,406,228385,0.167261422597806,3633.07058823529
Cincinnati,OH,Redeemer Church,Marc A. Champagne,2017,48,22,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,No Grades Included Reported,0,192027,0,0,0,192027,0,192027,750,0,0,0,0,0,0,0,0,0,1382,0,0,3600,900,1239,980,2400,0,19050,0,0,30301,123725,26300,180326,0.168034559630891,4000.5625
Millers Falls,MA,Covenant Church,No Pastor Reported,2017,42,4,0,2,1,0,0,1,0,0,0,1,1,2,2,20,40,0,0,No Grades Included Reported,0,105487,0,1127,1075,107689,0,107689,100,0,780,0,0,0,0,0,0,0,100,0,0,0,700,0,4181,0,0,2060,0,0,7921,97370,9679,114970,0.0688962338001218,2564.02380952381
Bradenton,FL,Harbor Community Church,Geoffrey C. Henderson,2017,73,11,4,0,1,8,0,0,0,0,0,0,1,4,3,41,12,0,104,No Grades Included Reported,0,285892,15795,0,0,301687,2888,304575,0,0,700,2400,0,0,0,0,0,0,0,0,0,0,0,4100,3600,0,1200,0,0,0,12000,284473,0,296473,0.0404758612082719,4132.69863013699
Boblingen,  ,Covenant Fellowship Church,Dylan Halter,2017,21,7,0,0,4,0,0,0,2,1,0,0,0,0,0,19,30,0,41,No Grades Included Reported,0,85235,0,0,0,85235,0,85235,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,4150,92796,0,96946,0.0428073360427454,4058.80952380952
Huntsville,AL,Cornerstone Presbyterian Church,Wilson Shirley,2017,234,61,0,4,8,3,0,1,2,18,0,1,3,5,7,97,170,0,200,No Grades Included Reported,0,1092718,0,8100,485,1101303,0,1101303,1611,1611,5979,5584,2071,2300,919,3614,308,0,2760,0,0,0,0,20400,3400,30400,35995,3600,0,0,120552,582042,0,702594,0.171581311539808,4706.42307692308
Fort Smith,AR,Covenant Presbyterian Church,John Clayton,2017,147,19,0,0,24,0,0,0,0,11,0,4,5,5,7,70,85,0,125,No Grades Included Reported,0,511164,14796,800,2533,529293,0,529293,758,758,2817,2602,975,0,0,1734,0,0,1800,0,0,0,0,8897,3851,6233,6910,0,0,0,37335,390460,28894,456689,0.0817514763876511,3600.63265306122
Knoxville,TN,Korean Sarang Church of Knoxville,Jin Eun Jung,2017,117,3,10,49,0,0,0,0,0,1,1,1,0,0,0,38,10,0,50,No Grades Included Reported,0,71545,118,15000,0,86663,0,86663,500,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,1.0,740.709401709402
Melbourne,FL,Melbourne Open Kingdom,Eunseob Kim,2017,98,10,6,40,0,10,0,0,0,3,0,2,0,1,1,0,0,0,50,No Grades Included Reported,0,70000,30000,5000,5000,110000,0,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,4500,0,0,0,0,5000,10000,0,15000,0.333333333333333,1122.44897959184
Bremerton,WA,Grace Community Presbyterian Church,Joel Zakahi,2017,32,45,1,8,4,0,0,3,0,4,0,1,0,2,1,25,8,0,45,No Grades Included Reported,0,132252,8669,0,325,141246,5435,146681,300,0,735,2162,0,0,0,2788,0,0,0,0,300,0,0,0,639,0,0,747,0,0,7671,113502,0,121173,0.0633061820702632,4413.9375
Woodstock,GA,Christ Covenant,Job Dalomba,2017,60,20,1,0,1,0,1,0,2,2,0,0,2,2,2,24,30,0,65,No Grades Included Reported,0,167217,28491,0,0,195708,0,195708,2400,0,0,0,0,0,0,1200,0,0,1200,0,0,0,0,3600,3600,3400,3400,13917,0,0,32717,151825,0,184542,0.1772875551365,3261.8
San Antonio,TX,Christ Church PCA of San Antonio,Luke Evans,2017,158,76,9,0,17,6,0,1,0,2,0,1,2,3,6,0,0,0,200,No Grades Included Reported,0,382023,10000,0,0,392023,0,392023,0,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,2400,2400,21500,4000,0,0,32550,367287,0,399837,0.0814081738308361,2481.1582278481
Columbia,SC,Columbia Presbyterian Church,David Gentino,2017,202,60,10,3,24,11,0,0,5,54,0,3,19,4,6,107,0,0,249,No Grades Included Reported,0,515299,0,234551,60000,809850,0,809850,100,0,0,0,0,0,0,7500,0,0,0,0,45952,0,0,2600,0,1235,0,3900,0,0,61287,426210,800000,1287497,0.0476016643145576,4009.15841584158
Crofton,MD,Trinity Presbyterian Church,No Pastor Reported,2017,162,80,0,0,10,0,0,0,9,0,0,0,7,5,13,90,70,0,190,No Grades Included Reported,0,596518,12919,0,0,609437,1331,610768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2022,17000,0,0,10000,0,32022,313417,358136,703575,0.045513271506236,3761.95679012346
Port St. Lucie,FL,Christ the King Presbyterian Church,Jason Paugh,2017,42,20,0,0,6,3,0,2,0,0,0,0,3,0,0,21,0,0,60,No Grades Included Reported,0,85300,0,0,0,85300,0,85300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658,0,0,1200,0,0,6858,123000,0,129858,0.0528115325971446,2030.95238095238
Mt. Vernon,WA,Grace Presbyterian Church,Evin Langley,2017,88,43,0,0,4,1,0,1,1,0,0,0,2,2,1,40,0,0,0,No Grades Included Reported,0,232042,15875,0,31170,279087,0,279087,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,5000,214809,0,219809,0.0227470212775637,3171.44318181818
Weogufka,AL,Unity Presbyterian Church,No Pastor Reported,2017,31,0,0,0,0,0,0,0,4,0,0,0,0,3,0,16,12,0,20,No Grades Included Reported,0,35972,0,0,0,35972,0,35972,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,2120,0,0,0,0,0,500,2920,34376,0,37296,0.0782925782925783,1160.38709677419
Worcester,MA,Grace Presbyterian Church - Worcester,Jarrett Allebach,2017,24,2,1,2,9,1,0,0,0,0,0,1,0,0,0,34,0,0,42,No Grades Included Reported,0,74000,500,0,0,74500,0,74500,885,0,2000,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,3970,158000,0,161970,0.024510711860221,3104.16666666667
Trenton,GA,Grace Community Trenton,Hutch Garmany,2017,78,15,12,0,16,2,0,0,1,0,0,0,1,3,0,37,0,0,100,No Grades Included Reported,0,148533,0,0,0,148533,0,148533,420,0,1560,1560,650,600,240,840,0,1000,1200,0,2025,0,1000,3000,10000,0,0,0,0,0,24095,102437,12200,138732,0.173680189141654,1904.26923076923
Beaufort,SC,First Scots Presbyterian Church,Alexander Dorn Mark,2017,129,24,2,4,3,5,0,3,4,0,0,0,4,3,0,72,70,0,145,No Grades Included Reported,0,270043,600,122250,0,392893,726,393619,0,0,0,0,0,0,0,0,0,0,3012,0,0,0,0,2000,0,0,0,0,0,0,5012,240906,0,245918,0.0203807773322815,3045.68217054264
Lansing,IL,First Church (PCA),No Pastor Reported,2017,422,122,2,7,29,0,0,9,5,7,0,0,12,9,11,240,75,0,300,P,24,664793,49315,71929,319065,1105102,0,1105102,2000,0,3000,6250,2000,0,0,2000,0,0,3000,0,0,0,0,15860,1369,0,3250,42250,0,17600,98579,489284,162620,750483,0.131354074642597,2618.72511848341
Manhattan,IL,Missio Dei Church,Michael Fenimore,2017,48,38,1,0,0,0,0,0,2,0,0,0,3,1,4,24,32,0,86,No Grades Included Reported,0,170403,2385,16380,0,189168,6663,195831,0,0,0,0,0,0,0,0,0,0,0,0,0,2975,0,0,1537,0,0,8499,0,0,13011,149612,412,163035,0.0798049498573926,3941.0
Frankfort,IL,Peace Community Church,Kurt Kruger,2017,128,32,4,0,0,8,0,0,0,26,0,1,2,6,6,72,25,0,140,P,98,395712,9678,955,5335,411680,257,411937,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,5525,0,0,43792,0,0,52217,381168,0,433385,0.120486403544193,3216.25
Mount Laurel,NJ,Grace Presbyterian Church,Ted W. Trefsgar Jr.,2017,167,50,4,0,2,0,0,0,0,2,1,0,4,3,5,83,60,0,125,No Grades Included Reported,0,402391,1200,0,2190,405781,49969,455750,1148,1148,4264,28316,1640,1640,656,5624,0,1500,2911,0,0,0,0,0,10754,0,0,7064,0,1760,68425,346970,72868,488263,0.140139637859105,2429.82634730539
Southern Pines,NC,Redeemer Church,Wendell F. Collins III,2017,43,25,10,0,0,21,0,0,0,8,0,0,2,0,0,30,0,0,135,M,0,192508,4574,0,3760,200842,0,200842,300,300,300,300,0,0,0,0,0,0,1200,0,0,0,0,3020,1461,2400,2400,2400,0,0,14081,172495,0,186576,0.0754705857130606,4670.74418604651
Milwaukee,WI,Christ Church Milwaukee,Jon Talley,2017,41,18,3,2,19,13,0,0,0,0,0,2,9,0,0,36,0,0,80,No Grades Included Reported,0,221094,0,0,0,221094,0,221094,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,183921,0,190221,0.0331193716782059,5392.53658536585
Leonia,NJ,Lighthouse Korean Presbyterian Church,Woo Shin  Lee,2017,17,2,0,2,0,0,0,0,0,0,0,9,5,0,0,5,4,0,12,No Grades Included Reported,0,20520,600,0,0,21120,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,6000,0,0,7200,15000,0,22200,0.324324324324324,1242.35294117647
Austin,TX,Grace+Peace Presbyterian Church of Austin,John Sweet,2017,233,67,6,1,40,0,0,0,9,5,0,1,6,9,9,114,50,0,186,No Grades Included Reported,0,508329,57937,1721,13170,581157,0,581157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,18864,7200,0,0,20715,0,0,49279,461676,0,510955,0.0964448924073548,2494.23605150215
Elizabeth City,NC,Harbor Presbyterian Church,Jason Christopher Schubert,2017,55,6,0,15,12,6,0,0,0,0,0,10,4,0,0,23,0,0,70,No Grades Included Reported,0,80237,0,0,0,80237,72574,152811,273,273,1014,936,390,390,156,624,0,0,500,0,1000,0,0,0,0,0,0,0,0,0,5556,142358,0,147914,0.0375623673215517,1458.85454545455
East Lansing,MI,University Reformed Church,Jason M. Helopoulos,2017,634,285,10,20,18,8,1,0,14,20,1,8,28,12,5,339,269,0,624,No Grades Included Reported,0,1583672,12894,5494,0,1602060,150,1602210,4000,0,0,0,5000,0,0,0,0,0,11000,0,10000,0,0,3600,11311,33500,31200,145032,0,0,254643,1257795,0,1512438,0.168365909875314,2526.90851735016
Signal Mountain,TN,Mountain Fellowship,Jimmy B. Davis,2017,102,33,0,0,2,0,0,0,0,0,0,0,2,5,6,39,19,0,127,No Grades Included Reported,0,288168,8676,0,40000,336844,0,336844,400,300,1200,1200,1000,0,0,0,0,0,1000,0,0,0,0,5800,250,5200,0,4600,0,0,20950,248717,0,269667,0.0776884082961578,3302.39215686275
Bellevue,WA,Hope Presbyterian Church,Martin Hedman,2017,58,14,0,2,0,4,0,0,7,3,0,0,2,1,3,30,0,0,79,No Grades Included Reported,0,169167,3225,0,12113,184505,77107,261612,0,0,3000,2000,0,0,0,5000,0,1900,0,0,0,0,0,0,5778,0,0,0,0,0,17678,184587,0,202265,0.0874001928163548,3181.12068965517
Kirksville,MO,True Community Fellowship,Patrick Weston,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,No Grades Included Reported,0,4000,0,0,65000,69000,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,0,69000,0.0,0.0
Dacula,GA,Restoration Presbyterian Church,Scott Barber,2017,382,112,12,0,27,0,0,0,8,62,0,1,6,17,11,147,132,0,333,No Grades Included Reported,0,1005085,30824,2025,0,1037934,11699,1049633,0,0,0,0,0,0,0,0,0,35809,3204,0,0,0,0,0,59423,0,0,72061,0,0,170497,723555,100000,994052,0.171517184211691,2717.10471204188
Ipswich,MA,First Presbyterian Church Northshore ,No Pastor Reported,2017,454,44,12,16,8,0,0,0,0,0,0,1,8,14,8,301,285,0,540,No Grades Included Reported,0,1033279,25968,635604,224800,1919651,0,1919651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203583,0,0,203583,1030788,0,1234371,0.16492853445196,4228.30616740088
Hastings,MI,Christ the King PCA,Phillip Peter Adams,2017,65,16,4,1,0,0,1,1,5,0,1,0,1,2,2,14,0,0,60,No Grades Included Reported,0,72000,0,6000,0,78000,0,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,3000,0,0,0,4000,0,0,9500,62000,10000,81500,0.116564417177914,1200.0
North Wales,PA,Gracepoint North Church,Daevid Yoon,2017,34,17,0,10,4,0,0,0,0,0,0,1,13,0,0,17,0,0,0,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Winston-Salem,NC,Trinity Church,Derek Emerson Radney,2017,69,23,0,1,9,5,0,0,2,0,0,1,23,2,0,36,90,0,90,No Grades Included Reported,0,177413,16085,0,0,193498,0,193498,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1000,0,600,0,0,0,2300,154600,0,156900,0.0146590184831103,2804.31884057971
Cheektowaga,NY,Christ Central Buffalo,Christopher  Jhu,2017,33,5,0,1,0,7,0,0,0,1,0,1,0,2,0,27,6,0,75,No Grades Included Reported,0,89500,0,0,0,89500,30700,120200,0,0,12000,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500,107455,0,122955,0.126062380545728,2712.12121212121
Oshkosh,WI,Living Stone Church,Joshua Golackson,2017,4,7,0,0,4,0,0,0,0,0,0,0,2,0,0,13,12,0,60,No Grades Included Reported,0,25141,303,0,27460,52904,15000,67904,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,800,0,0,0,0,0,3300,36405,0,39705,0.0831129580657348,13226.0
Pullman,WA,Pullman Korean Presbyterian Church,Kanghoon Lee,2017,48,20,0,0,0,0,0,0,0,0,0,0,1,0,1,20,27,0,65,PKEMH,27,68366,0,0,0,68366,0,68366,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,53085,0,0,0,0,0,0,53285,8498,0,61783,0.862454073126912,1424.29166666667
Charlotte,NC,West Charlotte Church at Freedom,David Andrew Yoran,2017,28,13,0,0,26,2,0,0,0,0,0,0,3,0,0,15,38,0,64,No Grades Included Reported,0,56817,710,0,0,57527,0,57527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150914,0,150914,0.0,2054.53571428571
Charlotte,NC,South Charlotte Presbyterian Church,Dean Faulkner,2017,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8,0,0,67,No Grades Included Reported,0,117966,0,0,225080,343046,0,343046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2000,3000,0,0,0,0,5200,440000,0,445200,0.0116801437556155,19058.1111111111
South Holland,IL,Covenant Fellowship Church of South Holland,Richard Zekveld,2017,90,26,0,3,3,0,0,0,2,0,0,1,1,6,3,55,35,0,110,No Grades Included Reported,0,173244,50655,0,18084,241983,0,241983,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,10912,0,0,20027,0,6653,38287,183624,0,221911,0.17253313265228,2688.7
Benton,KS,Kirk of the Plains,Rick Franks,2017,15,11,1,0,14,0,0,0,0,0,0,0,0,0,0,8,27,0,31,No Grades Included Reported,0,26726,0,0,22407,49133,0,49133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30099,0,30099,0.0,3275.53333333333
Suwanee,GA,Christ Covenant Presbyterian Church,Young Kyu Choi,2017,37,7,0,1,15,0,0,0,0,0,0,1,2,0,0,29,0,0,48,No Grades Included Reported,0,87343,0,0,0,87343,0,87343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,200,56305,30829,87334,0.00229005885451256,2360.62162162162
